Sachet Tandon,Bekhayali (From "Kabir Singh"),Hindi
Barney Sku,Your Eyes,English
Aashir Wajahat,Sadqay,Urdu
Sofia Cordoba,Qué Más Da,Spanish
Russ,I Got You,English
Central Cee,I Will,English
Big Boi,Kill Jill [Feat. Killer Mike, Jeezy],English
Lana Del Rey,Say Yes To Heaven,English
Zack Knight,Bom Diggy Diggy,English
Sharn,Mi Amor,Spanish
Vishal-Shekhar,Ishq Wala Love,Hindi
Jasleen Royal,Nachde Ne Saare,Punjabi
Pritam,Jhak Maar Ke,Hindi
Arijit Singh,Zaalima,Hindi
Ritviz,Liggi,Hindi
King,Maan Meri Jaan,Hindi
Labh Janjua,London Thumakda (From "Queen"),Punjabi
6LACK,Rent Free,English
6LACK,Since I Have A Lover,English
6LACK,Inwood Hill Park,English
Diljit Dosanjh,Naina (From "Crew"),Punjabi
A.R. Rahman,Raanjhanaa,Hindi
Sachin-Jigar,Tere Vaaste (From "Zara Hatke Zara Bachke"),Hindi
Vishal-Shekhar,Ghungroo (From "War"),Hindi
Darshan Raval,Asal Mein,Hindi
Pritam,Bulleya,Hindi
Stephen Sanchez,High,English
Ari Abdul,BABYDOLL,English
beabadoobee,Glue Song,English
Montell Fish,Hotel,English
Mitski,My Love Mine All Mine,English
Isabel LaRosa,i'm yours,English
New West,Those Eyes,English
Artemas,if u think i'm pretty,English
Diljit Dosanjh,Lover,Punjabi
AUR,Tu hai kahan (feat. ZAYN),English
Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),English
4batz,act ii: date @ 8 (feat. Drake) - remix,English
Radiohead,Everything In Its Right Place,English
Creepy Nuts,Bling-Bang-Bang-Born,Japanese
Jeremih,Don't Tell 'Em,English
Aya Nakamura,Copines,French
Diljit Dosanjh,Dil Todeya,Punjabi
Guru Randhawa,Main Deewana Tera,Punjabi
Karan Sehmbi,Photo (From "Luka Chuppi"),Punjabi
Arijit Singh,Main Tera Boyfriend,Hindi
Pritam,Ik Vaari Aa (From "Raabta"),Hindi
Pritam,Raabta (Title Track) [From "Raabta"],Hindi
Pritam,Manma Emotion Jaage,Hindi
Benny Dayal,Lat Lag Gayee,Hindi
DYSTINCT,Business (feat. Naza),English
Sukha,8 ASLE,Punjabi
Eric Reprid,Cold World,English
Hasan Raheem,Wishes,Urdu
Good Neighbours,Home,English
Anurag Saikia,Aise Kyun,Hindi
Karan Kanchan,Ishq Nachaawe - From "Kho Gaye Hum Kahan",Hindi
OAFF,Teri Yeh Baatein - From "Kho Gaye Hum Kahan",Hindi
OAFF,Hone Do Jo Hota Hai - From "Kho Gaye Hum Kahan",Hindi
Dhruv Visvanath,Yeh Pal Hain Apne (From "Dange"),Hindi
A.R. Rahman,Param Sundari,Hindi
Ankit Tiwari,Sunn Raha Hai (Male Version),Hindi
AP Dhillon,With You,Punjabi
Rovalio,Iraaday,Urdu
lucidbeatz,Let U Go,English
Dhruv Visvanath,Bahaane,Hindi
Diljit Dosanjh,Kinni Kinni,Punjabi
Avvy Sra,White Brown Black,Punjabi
Yoke Lore,Truly Madly Deeply - Recorded at Spotify Studios NYC,English
TENDER,Erode,English
Two Door Cinema Club,Sun,English
Mitraz,Zehen X Saajna,Hindi
Aditya Rikhari,Nasamajh,Hindi
Aditya Rikhari,Faasle,Hindi
Zaeden,KTMBK,English
Akashdeep Sengupta,Dil Se Dil Tak (From "Bawaal"),Hindi
Mitraz,Junoon,Hindi
Diljit Dosanjh,Love Ya,Punjabi
Danny,Ve Haaniyaan,Punjabi
Mitraz,Akhiyaan Gulaab (From "Teri Baaton Mein Aisa Uljha Jiya"),Hindi
Tanishk Bagchi,Laal Peeli Akhiyaan (From "Teri Baaton Mein Aisa Uljha Jiya"),Hindi
Sachin-Jigar,Tum Se (From "Teri Baaton Mein Aisa Uljha Jiya"),Hindi
Vishal Mishra,Pehla Pyaar,Hindi
Diljit Dosanjh,Magic | Coke Studio Bharat,Punjabi
Hozier,Take Me to Church,English
Raghav Chaitanya,Hua Main,Hindi
PLVTINUM,Champagne & Sunshine,English
Ruger,Asiwaju,English
Dean Lewis,Half A Man,English
Zaeden,tere bina,English
AUR,Tu hai kahan,English
Sachet Tandon,Malang Sajna,Hindi
Abdul Hannan,Bikhra,Urdu
Anuv Jain,Husn,Urdu
Jaani,Saari Duniya Jalaa Denge,Hindi
Vishal Mishra,Manjha,Hindi
Pritam,Shayad,Hindi
The Yellow Diary,Roz Roz,Hindi
Aditya Rikhari,Samjho Na,Hindi
Aditya A,Awaargi,Hindi
Bakar,Hell N Back,English
Ben Howard,Conrad,English
Hazlett,Please Don't Be,English
Goldie Sohel,Aaj Sajeya,Hindi
Sachin-Jigar,Apna Bana Le,Hindi
Riar Saab,Dreams,English
Drake,From Time,English
Aditya A,Chaand Baaliyan,Hindi
Central Cee,Entrapreneur,English
Guru Randhawa,Ban Ja Rani (From "Tumhari Sulu"),Punjabi
A Boogie Wit da Hoodie,My Shit,English
Conan Gray,Astronomy,English
Brent Faiyaz,Poison,English
Frank Ocean,Novacane,English
H.E.R.,Could've Been (feat. Bryson Tiller),English
Sachin-Jigar,Phir Aur Kya Chahiye (From "Zara Hatke Zara Bachke"),Hindi
```

Note: The language is assumed based on the artist's primary language or the song's title. Some artists may produce music in multiple languages, and the language of the song may vary.
```csv
Artist,Name of Song,Language
The Dø,Dust It Off,English
Patrick Watson,Je te laisserai des mots,French
Bakar,Alive!,English
Hazlett,Blame The Moon,English
Mirko Dukanovic,Laura's Dance,Instrumental
Jalen Santoy,Foreplay,English
Vedo,Trip (V-Mix) - Remake,English
Ella Mai,Trip,English
Em Beihold,Numb Little Bug - Piano Version,English
The Whitest Boy Alive,Burning,English
Billie Eilish,watch,English
Yamê,Bécane,French
Yamê,Bécane - A COLORS SHOW,French
Mike WiLL Made-It,The Mantra (with Pharrell & Kendrick Lamar),English
Jungle,Happy Man,English
Fresco Trey,Got You (feat. charlieonnafriday),English
Enur,Calabria 2008 (feat. Natasja),English
Lithe,Lot of Love,English
Ari Abdul,You,English
The Weeknd,Try Me,English
Bad Bunny,MONACO,Spanish
JVKE,golden hour - Cello Version,English
Agnes Obel,Familiar,English
Eminem,No Love,English
JP Saxe,If the World Was Ending (feat. Julia Michaels),English
Daughter,No Care,English
Lyrical Lemonade,Stop Giving Me Advice (with Jack Harlow & Dave),English
Vishal Dadlani,Jee Le Zaraa,Hindi
BlocBoy JB,Look Alive (feat. Drake),English
Arijit Singh,Satranga (From "ANIMAL"),Hindi
Cigarettes After Sex,Apocalypse,English
The Weeknd,Die For You,English
Vishal Mishra,Pehle Bhi Main,Hindi
The Neighbourhood,Daddy Issues,English
Shaarib Toshi,Bandeya - From "Dil Juunglee",Hindi
